"dependency_index","report_catalog_index","report_title","report_path","dependency_type","dependency_name","dependency_path","resolved_catalog_index","resolved_object_title","resolved_object_kind","is_resolved"
22,27,"UCB Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
23,27,"UCB Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
24,27,"UCB Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
25,33,"UCB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","saved_column","excluded designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included\/excluded designator",,,,FALSE
26,33,"UCB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","saved_column","Electronic - UCB eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCB eResources Managed By designator",57,"Electronic - UCB eResources Managed By designator","saved_column",TRUE
27,33,"UCB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","saved_column","Electronic - Global Stats Electronic Library Categories","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",24,"Electronic - Global Stats Electronic Library Categories","saved_column",TRUE
28,33,"UCB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","saved_column","Electronic - Count of Electronic Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",1,"Electronic - Count of Electronic Holdings","saved_column",TRUE
29,33,"UCB eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCB eResources Comparison Report","saved_column","Electronic - Count of Electronic Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Titles",2,"Electronic - Count of Electronic Titles","saved_column",TRUE
30,35,"SLF-N Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-N Added Physical Holdings and Titles Report","saved_column","Physical - Systemwide Library Facility","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Systemwide Library Facility",269,"Physical - Systemwide Library Facility","saved_column",TRUE
31,35,"SLF-N Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-N Added Physical Holdings and Titles Report","saved_column","Physical - SLF Depositor","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF Depositor",266,"Physical - SLF Depositor","saved_column",TRUE
